Cloud Provider,Number of Nodes,Time in seconds,Mop/s total,Day,Test Iteration
AWS,1,14.23,37.73,1,1
AWS,2,7.17,74.88,1,1
AWS,4,3.6,149.23,1,1
AWS,6,2.42,222.17,1,1
AWS,8,1.85,289.55,1,1
AWS,1,14.21,37.78,1,2
AWS,2,7.19,74.72,1,2
AWS,4,3.58,149.9,1,2
AWS,6,2.4,223.44,1,2
AWS,8,1.81,296.17,1,2
AWS,1,14.22,37.75,1,3
AWS,2,7.22,74.31,1,3
AWS,4,3.58,149.91,1,3
AWS,6,2.42,222.27,1,3
AWS,8,1.81,296.2,1,3
AWS,1,14.32,37.5,2,1
AWS,2,7.18,74.77,2,1
AWS,4,3.59,149.44,2,1
AWS,6,2.41,222.76,2,1
AWS,8,1.81,296.14,2,1
AWS,1,14.3,37.55,2,2
AWS,2,7.13,75.26,2,2
AWS,4,3.6,149.25,2,2
AWS,6,2.39,224.92,2,2
AWS,8,1.79,299.19,2,2
AWS,1,14.24,37.69,2,3
AWS,2,7.2,74.59,2,3
AWS,4,3.6,149.29,2,3
AWS,6,2.4,224.0,2,3
AWS,8,1.82,295.48,2,3
AWS,1,14.39,37.3,3,1
AWS,2,7.23,74.24,3,1
AWS,4,3.62,148.22,3,1
AWS,6,2.42,221.53,3,1
AWS,8,1.8,297.75,3,1
AWS,1,14.38,37.34,3,2
AWS,2,7.19,74.64,3,2
AWS,4,3.62,148.43,3,2
AWS,6,2.4,223.65,3,2
AWS,8,1.81,296.64,3,2
AWS,1,14.64,36.67,3,3
AWS,2,7.27,73.86,3,3
AWS,4,3.61,148.81,3,3
AWS,6,2.39,224.68,3,3
AWS,8,1.82,294.74,3,3
AWS,1,14.49,37.06,4,1
AWS,2,7.17,74.85,4,1
AWS,4,3.57,150.21,4,1
AWS,6,2.43,221.12,4,1
AWS,8,1.81,295.92,4,1
AWS,1,14.34,37.43,4,2
AWS,2,7.21,74.49,4,2
AWS,4,3.65,147.21,4,2
AWS,6,2.44,220.17,4,2
AWS,8,1.87,287.52,4,2
AWS,1,14.4,37.28,4,3
AWS,2,7.28,73.76,4,3
AWS,4,3.61,148.59,4,3
AWS,6,2.41,222.76,4,3
AWS,8,1.8,298.65,4,3
GCP,1,6.05,88.79,1,1
GCP,2,3.03,177.12,1,1
GCP,4,1.58,339.06,1,1
GCP,6,1.04,516.88,1,1
GCP,8,0.78,688.23,1,1
GCP,1,6.08,88.27,1,2
GCP,2,3.23,166.28,1,2
GCP,4,1.53,351.47,1,2
GCP,6,1.05,511.45,1,2
GCP,8,0.79,675.63,1,2
GCP,1,6.06,88.56,1,3
GCP,2,3.06,175.46,1,3
GCP,4,1.54,348.46,1,3
GCP,6,1.04,516.14,1,3
GCP,8,0.8,668.46,1,3
GCP,1,6.07,88.52,2,1
GCP,2,3.23,166.16,2,1
GCP,4,1.59,337.93,2,1
GCP,6,1.76,304.97,2,1
GCP,8,1.02,528.33,2,1
GCP,1,6.05,88.8,2,2
GCP,2,3.05,176.12,2,2
GCP,4,1.54,348.69,2,2
GCP,6,1.06,506.04,2,2
GCP,8,0.76,702.73,2,2
GCP,1,6.06,88.53,2,3
GCP,2,3.04,176.66,2,3
GCP,4,1.59,338.24,2,3
GCP,6,1.02,525.03,2,3
GCP,8,0.77,701.48,2,3
GCP,1,6.04,88.87,3,1
GCP,2,3.17,169.53,3,1
GCP,4,2.29,234.8,3,1
GCP,6,1.15,467.26,3,1
GCP,8,0.88,609.02,3,1
GCP,1,6.04,88.84,3,2
GCP,2,3.02,177.69,3,2
GCP,4,1.59,336.92,3,2
GCP,6,1.03,522.08,3,2
GCP,8,0.77,695.25,3,2
GCP,1,6.03,89.07,3,3
GCP,2,3.04,176.55,3,3
GCP,4,1.52,354.16,3,3
GCP,6,1.03,523.19,3,3
GCP,8,1.15,468.6,3,3
GCP,1,6.06,88.58,4,1
GCP,2,3.04,176.82,4,1
GCP,4,1.52,352.56,4,1
GCP,6,1.02,528.33,4,1
GCP,8,0.76,703.25,4,1
GCP,1,6.07,88.4,4,2
GCP,2,3.06,175.48,4,2
GCP,4,1.56,343.14,4,2
GCP,6,1.02,528.01,4,2
GCP,8,0.79,676.48,4,2
GCP,1,6.05,88.67,4,3
GCP,2,3.03,177.44,4,3
GCP,4,1.52,352.92,4,3
GCP,6,1.02,526.55,4,3
GCP,8,0.77,701.49,4,3
